dev,VBUS,ILOAD,TJ,NPU_LS,NPD_LS,NPD_HS,DT,CLKEN,VNEG,E_tot,ov_pct,margin,Vgs_spur_hs
0,50,2,25,8,2,1,5n,1,0,5.425838201554998e-07,116.88944599999999,0.09753740000000155,1.3024625999999984
0,100,10,25,8,2,1,5n,1,0,3.974060077505249e-06,57.52579499999999,0.12274799999999564,1.2772520000000043
0,200,10,125,8,2,1,5n,1,0,1.291605338402626e-05,42.274733,-0.019738999999987072,1.269738999999987
0,200,2,125,8,2,1,5n,1,0,6.18282765443525e-06,11.000330500000004,-0.03717100000000073,1.2871710000000007
0,50,2,25,3,2,1,10n,0,-2,8.345662776687283e-07,25.919483799999995,0.3149376999999993,1.0850623000000006
0,100,10,25,3,2,1,10n,0,-2,5.142321866118074e-06,19.824464000000006,-0.013200400000008106,1.413200400000008
0,200,10,125,3,2,1,10n,0,-2,1.60967310769803e-05,8.154480500000005,-0.5683489999999978,1.8183489999999978
0,200,2,125,3,2,1,10n,0,-2,7.649613198934505e-06,29.734014000000002,-0.22960140000000706,1.479601400000007
0,50,2,25,1,2,4,10n,1,0,1.053290278966165e-06,37.52176539999999,1.1439792999999994,0.25602070000000055
0,100,10,25,1,2,4,10n,1,0,6.605820349625007e-06,24.007717,1.099125699999996,0.3008743000000038
0,200,10,125,1,2,4,10n,1,0,1.9756819313956498e-05,4.400868000000003,0.9584189999999921,0.29158100000000786
0,200,2,125,1,2,4,10n,1,0,8.105788080927288e-06,25.873574500000004,0.41926704299999995,0.25084000000001083
0,50,2,25,1,8,4,15n,1,-2,1.525082968845226e-06,7.953097999999998,3.044431822,-1.644431822
0,100,10,25,1,8,4,15n,1,-2,7.898653107568083e-06,23.617841,2.97554175,-1.5755417500000002
0,200,10,125,1,8,4,15n,1,-2,2.2504685477601778e-05,6.0328355000000045,2.995572999999993,-1.7455729999999932
0,200,2,125,1,8,4,15n,1,-2,1.0471983171861834e-05,3.1220124999999967,2.9860847000000064,-1.7360847000000064
0,50,2,25,1,8,1,15n,0,0,1.2052419995443e-06,6.3496140000000025,-0.9305746000000021,2.330574600000002
0,100,10,25,1,8,1,15n,0,0,7.774103856511773e-06,22.916876000000002,-1.313706099999996,2.713706099999996
0,200,10,125,1,8,1,15n,0,0,2.4764502019322463e-05,6.918775999999993,-1.398963000000009,2.648963000000009
0,200,2,125,1,8,1,15n,0,0,1.117640374585896e-05,4.676103999999995,-1.26977100000002,2.51977100000002
1,50,2,25,1,2,8,10n,1,-2,1.4456388554909397e-06,22.8635204,3.088343225,-1.6883432250000001
1,100,10,25,1,2,8,10n,1,-2,7.98367933268789e-06,22.181696000000002,3.03064786,-1.6306478600000003
1,200,10,125,1,2,8,10n,1,-2,2.2467821333427045e-05,7.899382000000003,3.0377155000000045,-1.7877155000000045
1,200,2,125,1,2,8,10n,1,-2,9.641107154619394e-06,30.02220299999999,2.28817958,-1.7858571000000012
1,50,2,25,8,8,8,15n,0,0,5.795501189723797e-07,5.8433701999999945,0.21529776999999983,1.18470223
1,100,10,25,8,8,8,15n,0,0,3.920021098563528e-06,22.847663999999995,-0.28526059999999953,1.6852605999999994
1,200,10,125,8,8,8,15n,0,0,1.2516375469490756e-05,5.778814999999995,-0.6885890000000074,1.9385890000000074
1,200,2,125,8,8,8,15n,0,0,7.535104086947766e-06,4.442184499999996,-0.6735510000000033,1.9235510000000033
1,50,2,25,6,2,1,10n,0,0,5.625318447701679e-07,57.6013968,-2.5702199900000005,3.9702199900000004
1,100,10,25,6,2,1,10n,0,0,6.50255620200442e-06,18.795105000000007,-2.7508084999999967,4.150808499999997
1,200,10,125,6,2,1,10n,0,0,2.301902127735463e-05,8.302119000000005,-3.1796919999999886,4.429691999999989
1,200,2,125,6,2,1,10n,0,0,1.1773329763913945e-05,17.229521500000004,-3.7573890000000176,5.007389000000018
1,50,2,25,8,8,1,25n,1,-2,6.970851400151681e-07,10.213884399999998,2.3267399409999996,-0.9267399409999999
1,100,10,25,8,8,1,25n,1,-2,5.910686871395561e-06,23.738184000000004,2.266438500000001,-0.866438500000001
1,200,10,125,8,8,1,25n,1,-2,1.526294996937165e-05,6.088020999999998,1.9482589999999789,-0.6982589999999789
1,200,2,125,8,8,1,25n,1,-2,9.206328276052698e-06,2.8306474999999978,2.0078040000000072,-0.7578040000000072
1,50,2,25,2,8,4,15n,0,-2,1.2251903970760516e-06,8.327770799999996,2.12818169,-0.72818169
1,100,10,25,2,8,4,15n,0,-2,6.1592341181911505e-06,23.913664999999995,1.991232042,-0.591232042
1,200,10,125,2,8,4,15n,0,-2,1.7716184336716052e-05,6.301173500000004,2.1528086,-0.9028086000000002
