t_us,vout_closed,vout_open,iout,vin
819.5799,50.0199,49.6070,4.8704,100.000
819.9550,50.0203,49.6067,4.0158,100.000
820.3301,50.0201,49.6055,4.5732,100.000
820.7052,50.0190,49.6049,5.3984,100.000
821.0803,50.0181,49.6038,6.0120,100.000
821.4554,50.0181,49.6033,5.1560,100.000
821.8305,50.0184,49.6030,4.3010,100.000
822.2056,50.0188,49.6017,4.2969,100.000
822.5806,50.0189,49.6009,5.1240,100.000
822.9557,50.0190,49.5999,5.9455,100.000
823.3308,50.0187,49.5984,5.4392,100.000
823.7059,50.0187,49.5975,4.5837,100.000
824.0810,50.0185,49.5952,4.0155,100.000
824.4561,50.0183,49.5945,4.8448,100.000
824.8312,50.0181,49.5938,5.6682,100.000
825.2063,50.0179,49.5919,5.7261,100.000
825.5814,50.0177,49.5911,4.8704,100.000
825.9565,50.0174,49.5905,4.0158,100.000
826.3316,50.0170,49.5879,4.5729,100.000
826.7067,50.0171,49.5863,5.3981,100.000
827.0818,50.0170,49.5839,6.0107,100.000
827.4569,50.0168,49.5831,5.1547,100.000
827.8320,50.0165,49.5825,4.2997,100.000
828.2071,50.0159,49.5807,4.2972,100.000
828.5821,50.0159,49.5796,5.1243,100.000
828.9572,50.0158,49.5784,5.9459,100.000
829.3323,50.0158,49.5770,5.4417,100.000
829.7074,50.0158,49.5768,4.5863,100.000
830.0825,50.0160,49.5762,4.0273,100.000
830.4576,50.0162,49.5752,4.8565,100.000
830.8327,50.0164,49.5738,5.6799,100.000
831.2078,50.0164,49.5724,5.7266,100.000
831.5829,50.0163,49.5722,4.8709,100.000
831.9580,50.0160,49.5725,4.0163,100.000
832.3331,50.0151,49.5715,4.5712,100.000
832.7082,50.0142,49.5704,5.3965,100.000
833.0833,50.0129,49.5690,5.9927,100.000
833.4584,50.0126,49.5687,5.1368,100.000
833.8335,50.0128,49.5686,4.2819,100.000
834.2086,50.0122,49.5679,4.2768,100.000
834.5836,50.0114,49.5671,5.1041,100.000
834.9587,50.0104,49.5661,5.9259,100.000
835.3338,50.0094,49.5650,5.4231,100.000
835.7089,50.0091,49.5649,4.5679,100.000
836.0840,50.0086,49.5642,4.0048,100.000
836.4591,50.0081,49.5632,4.8343,100.000
836.8342,50.0076,49.5617,5.6579,100.000
837.2093,50.0074,49.5598,5.7276,100.000
837.5844,50.0074,49.5593,4.8721,100.000
837.9595,50.0074,49.5590,4.0177,100.000
838.3346,50.0080,49.5564,4.5875,100.000
838.7097,50.0086,49.5539,5.4128,100.000
839.0848,50.0093,49.5510,6.0164,100.000
839.4599,50.0094,49.5504,5.1605,100.000
839.8350,50.0092,49.5505,4.3056,100.000
840.2101,50.0091,49.5498,4.3120,100.000
840.5851,50.0094,49.5489,5.1392,100.000
840.9602,50.0098,49.5479,5.9607,100.000
841.3353,50.0095,49.5463,5.4283,100.000
841.7104,50.0092,49.5455,4.5730,100.000
842.0855,50.0082,49.5434,4.0198,100.000
842.4606,50.0082,49.5425,4.8492,100.000
842.8357,50.0084,49.5416,5.6727,100.000
843.2108,50.0082,49.5397,5.7152,100.000
843.5859,50.0079,49.5391,4.8596,100.000
843.9610,50.0074,49.5388,4.0052,100.000
844.3361,50.0072,49.5370,4.5851,100.000
844.7112,50.0077,49.5358,5.4105,100.000
845.0863,50.0080,49.5341,6.0026,100.000
845.4614,50.0080,49.5335,5.1468,100.000
845.8365,50.0080,49.5329,4.2919,100.000
846.2116,50.0078,49.5317,4.3042,100.000
846.5866,50.0074,49.5312,5.1314,100.000
846.9617,50.0068,49.5309,5.9531,100.000
847.3368,50.0067,49.5302,5.4317,100.000
847.7119,50.0069,49.5303,4.5765,100.000
848.0870,50.0072,49.5304,4.0258,100.000
848.4621,50.0069,49.5298,4.8551,100.000
848.8372,50.0064,49.5289,5.6787,100.000
849.2123,50.0061,49.5285,5.7178,100.000
849.5874,50.0063,49.5286,4.8623,100.000
849.9625,50.0068,49.5290,4.0079,100.000
850.3376,50.0067,49.5292,4.5817,100.000
850.7127,50.0057,49.5292,5.4071,100.000
851.0878,50.0049,49.5293,6.0043,100.000
851.4629,50.0053,49.5296,5.1485,100.000
851.8380,50.0063,49.5301,4.2937,100.000
852.2131,50.0079,49.5311,4.3230,100.000
852.5881,50.0079,49.5309,5.1501,100.000
852.9632,50.0079,49.5303,5.9716,100.000
853.3383,50.0084,49.5311,5.4355,100.000
853.7134,50.0085,49.5319,4.5803,100.000
854.0885,50.0087,49.5336,4.0487,100.000
854.4636,50.0089,49.5334,4.8778,100.000
